date,time,jd,epoch_id,file_name,rv,rv_err
15/11/2024,21:04:41,2460630.38,1,4787135780363189504_1_salt_rss.csv,120.77853982949452,13.340816879290406
18/11/2024,20:36:08,2460633.361,2,4787135780363189504_2_salt_rss.csv,56.81926428925406,12.66589147517293
15/12/2024,01:06:34,2460659.548,3,4787135780363189504_3_salt_rss.csv,171.8664734631687,12.592502444668416
13/01/2025,22:39:22,2460689.445,4,4787135780363189504_4_salt_rss.csv,72.51111408233888,13.166898439640482
18/01/2025,22:44:52,2460694.449,5,4787135780363189504_5_salt_rss.csv,135.3886615141347,12.472876203087267
08/02/2025,21:04:37,2460715.378,6,4787135780363189504_6_salt_rss.csv,26.520308972734757,14.297275383994434
